FinalDocName,Processing Variable Label ,Location ,Length 
LCUNIT90,Duration of other impairment/problem (1): Time unit ,222,1
LCDURA90,Duration of other impairment/problem (1) (in years) , 223 - 224 ,2
LCDURB90,Duration of other impairment/problem (1) recode 2 ,225,1
LCCHRC90,Other impairment/problem (1) condition status ,226,1
LCTIME91,Duration of other impairment/problem (2): Number of units , 227 - 228 ,2
LCUNIT91,Duration of other impairment/problem (2): Time unit ,229,1
LCDURA91,Duration of other impairment/problem (2) (in years) , 230 - 231 ,2
LCDURB91,Duration of other impairment/problem (2) recode 2 ,232,1
LCCHRC91,Other impairment/problem (2) condition status ,233,1
LAHCA1,Vision/problem seeing causes limitation ,234,1
LAHCA2,Hearing problem causes limitation ,235,1
LAHCA3,Arthritis/rheumatism causes limitation ,236,1
LAHCA4,Back or neck problem causes limitation ,237,1
LAHCA5,"Fracture, bone/joint injury causes limitation ",238,1
LAHCA6,Other injury causes limitation ,239,1
LAHCA7,Heart problem causes limitation ,240,1
LAHCA8,Stroke problem causes limitation ,241,1
LAHCA9,Hypertension/high blood pressure causes limitation ,242,1
LAHCA10,Diabetes causes limitation ,243,1
LAHCA11,"Lung/breathing problem (e.g., asthma and emphysema) causes limitation ",244,1
LAHCA12,Cancer causes limitation ,245,1
LAHCA13,Birth defect causes limitation ,246,1
LAHCA14A,"Intellectual disability, also known as mental retardation causes limitation ",247,1
LAHCA15,"Other developmental problem (e.g., cerebral palsy) causes limitation ",248,1
LAHCA16,Senility causes limitation ,249,1
LAHCA17,Depression/anxiety/emotional problem causes limitation ,250,1
LAHCA18,Weight problem causes limitation ,251,1
LAHCA19_,Missing or amputated limb/finger/digit causes limitation ,252,1
LAHCA20_,Musculoskeletal/connective tissue problem causes limitation ,253,1
LAHCA21_,Circulation problems (including blood clots) cause limitation ,254,1
LAHCA22_,Endocrine/nutritional/metabolic problem causes limitation ,255,1
LAHCA23_,Nervous system/sensory organ condition causes limitation ,256,1
LAHCA24_,Digestive system problem causes limitation ,257,1
LAHCA25_,Genitourinary system problem causes limitation ,258,1
LAHCA26_,Skin/subcutaneous system problem causes limitation ,259,1
LAHCA27_,Blood or blood-forming organ problem causes limitation ,260,1
LAHCA28_,Benign tumor/cyst causes limitation ,261,1
LAHCA29_,Alcohol/drug/substance abuse problem causes limitation ,262,1
LAHCA30_,Other mental problem/ADD/bipolar/schizophrenia causes limitation ,263,1
LAHCA31_,Surgical after-effects/medical treatment causes limitation ,264,1
LAHCA32_,Old age/elderly/aging-related problem causes limitation ,265,1
LAHCA33_,Fatigue/tiredness/weakness causes limitation ,266,1
LAHCA34_,Pregnancy-related problem causes limitation ,267,1
LAHCA90,Other impairment/problem (1) causes limitation ,268,1
LAHCA91,Other impairment/problem (2) causes limitation ,269,1
LATIME1,Duration of vision problem: Number of units , 270 - 271 ,2
LAUNIT1,Duration of vision problem: Time unit ,272,1
LADURA1,Duration of vision problem (in years) , 273 - 274 ,2
LADURB1,Duration of vision problem recode 2 ,275,1
LACHRC1,Vision problem condition status ,276,1
LATIME2,Duration of hearing problem: Number of units , 277 - 278 ,2
LAUNIT2,Duration of hearing problem: Time unit ,279,1
LADURA2,Duration of hearing problem (in years) , 280 - 281 ,2
LADURB2,Duration of hearing problem recode 2 ,282,1
LACHRC2,Hearing problem condition status ,283,1
LATIME3,Duration of arthritis/rheumatism: Number of units , 284 - 285 ,2
LAUNIT3,Duration of arthritis/rheumatism: Time unit ,286,1
LADURA3,Duration of arthritis/rheumatism (in years) , 287 - 288 ,2
LADURB3,Duration of arthritis/rheumatism recode 2 ,289,1
LACHRC3,Arthritis/rheumatism condition status ,290,1
LATIME4,Duration of back or neck problem: Number of units , 291 - 292 ,2
LAUNIT4,Duration of back or neck problem: Time unit ,293,1
LADURA4,Duration of back or neck problem (in years) , 294 - 295 ,2
LADURB4,Duration of back or neck problem recode 2 ,296,1
LACHRC4,Back or neck problem condition status ,297,1
LATIME5,"Duration of fracture, bone/joint injury: Number of units ", 298 - 299 ,2
LAUNIT5,"Duration of fracture, bone/joint injury: Time unit ",300,1
LADURA5,"Duration of fracture, bone/joint injury (in years) ", 301 - 302 ,2
LADURB5,"Duration of fracture, bone/joint injury recode 2 ",303,1
LACHRC5,"Fracture, bone/joint injury condition status ",304,1
LATIME6,Duration of other injury: Number of units , 305 - 306 ,2
LAUNIT6,Duration of other injury: Time unit ,307,1
LADURA6,Duration of other injury (in years) , 308 - 309 ,2
LADURB6,Duration of other injury recode 2 ,310,1
LACHRC6,Other injury condition status ,311,1
LATIME7,Duration of heart problem: Number of units , 312 - 313 ,2
LAUNIT7,Duration of heart problem: Time unit ,314,1
LADURA7,Duration of heart problem (in years) , 315 - 316 ,2
LADURB7,Duration of heart problem recode 2 ,317,1
LACHRC7,Heart problem condition status ,318,1
LATIME8,Duration of stroke problem: Number of units , 319 - 320 ,2
LAUNIT8,Duration of stroke problem: Time unit ,321,1
LADURA8,Duration of stroke problem (in years) , 322 - 323 ,2
LADURB8,Duration of stroke problem recode 2 ,324,1
LACHRC8,Stroke problem condition status ,325,1
LATIME9,Duration of hypertension or high blood pressure: Number of units , 326 - 327 ,2
LAUNIT9,Duration of hypertension or high blood pressure: Time unit ,328,1
LADURA9,Duration of hypertension or high blood pressure (in years) , 329 - 330 ,2
LADURB9,Duration of hypertension or high blood pressure: recode 2 ,331,1
LACHRC9,Hypertension or high blood pressure condition status ,332,1
LATIME10,Duration of diabetes: Number of units , 333 - 334 ,2
LAUNIT10,Duration of diabetes: Time unit ,335,1
LADURA10,Duration of diabetes (in years) , 336 - 337 ,2
LADURB10,Duration of diabetes recode 2 ,338,1
LACHRC10,Diabetes condition status ,339,1
LATIME11,Duration of lung or breathing problem (eg asthma and emphysema): Number of units , 340 - 341 ,2
LAUNIT11,"Duration of lung or breathing problem (e.g., asthma and emphysema): Time unit ",342,1
LADURA11,"Duration of lung or breathing problem (e.g., asthma and emphysema) (in years) ", 343 - 344 ,2
LADURB11,"Duration of lung or breathing problem (e.g., asthma and emphysema): recode 2 ",345,1
LACHRC11,"Lung or breathing problem (e.g., asthma and emphysema): condition status ",346,1
LATIME12,Duration of cancer: Number of units , 347 - 348 ,2
LAUNIT12,Duration of cancer: Time unit ,349,1
LADURA12,Duration of cancer (in years) , 350 - 351 ,2
LADURB12,Duration of cancer recode 2 ,352,1
LACHRC12,Cancer condition status ,353,1
LATIME13,Duration of birth defect: Number of units , 354 - 355 ,2
LAUNIT13,Duration of birth defect: Time unit ,356,1
LADURA13,Duration of birth defect (in years) , 357 - 358 ,2
LADURB13,Duration of birth defect recode 2 ,359,1
LACHRC13,Birth defect condition status ,360,1
LTIME14A,"Duration of intellectual disability, AKA mental retardation: Number of units ", 361 - 362 ,2
LUNIT14A,"Duration of intellectual disability, also known as mental retardation: Time unit ",363,1
LDURA14A,"Duration of intellectual disability, also known as mental retardation (in years) ", 364 - 365 ,2
LDURB14A,"Duration of intellectual disability, also known as mental retardation recode 2 ",366,1
LCHRC14A,"Intellectual disability, also known as mental retardation condition status ",367,1
LATIME15,"Duration of other developmental problem (e.g., cerebral palsy): Number of units ", 368 - 369 ,2
LAUNIT15,"Duration of other developmental problem (e.g., cerebral palsy): Time unit ",370,1
LADURA15,"Duration of other developmental problem (e.g., cerebral palsy) (in years) ", 371 - 372 ,2
LADURB15,"Duration of other developmental problem (e.g., cerebral palsy) recode 2 ",373,1
LACHRC15,"Other developmental problem (e.g., cerebral palsy) condition status ",374,1
LATIME16,Duration of senility: Number of units , 375 - 376 ,2
LAUNIT16,Duration of senility: Time unit ,377,1
LADURA16,Duration of senility (in years) , 378 - 379 ,2
LADURB16,Duration of senility recode 2 ,380,1
LACHRC16,Senility condition status ,381,1
LATIME17,"Duration of depression, anxiety, or emotional problem: Number of units ", 382 - 383 ,2
LAUNIT17,"Duration of depression, anxiety, or emotional problem: Time unit ",384,1
LADURA17,"Duration of depression, anxiety, or emotional problem (in years) ", 385 - 386 ,2
LADURB17,"Duration of depression, anxiety, or emotional problem recode 2 ",387,1
LACHRC17,Depression/anxiety/emotional problem condition status ,388,1
LATIME18,Duration of weight problem: Number of units , 389 - 390 ,2
LAUNIT18,Duration of weight problem: Time unit ,391,1
LADURA18,Duration of weight problem (in years) , 392 - 393 ,2
LADURB18,Duration of weight problem recode 2 ,394,1
LACHRC18,Weight problem condition status ,395,1
LATIME19,"Duration of missing limbs (fingers, toes); amputation: Number of units ", 396 - 397 ,2
LAUNIT19,"Duration of missing limbs (fingers, toes, or digits); amputation: Time unit ",398,1
LADURA19,"Duration of missing limbs (fingers, toes, or digits); amputation (in years) ", 399 - 400 ,2
LADURB19,"Duration of missing limbs (fingers, toes, or digits); amputation recode 2 ",401,1
LACHRC19,"Missing limbs (fingers, toes, or digits); amputation condition status ",402,1
LATIME20,Duration of musculoskeletal/connective tissue problem: Number of units , 403 - 404 ,2
LAUNIT20,Duration of musculoskeletal/connective tissue problem: Time unit ,405,1
LADURA20,Duration of musculoskeletal/connective tissue problem (in years) , 406 - 407 ,2
LADURB20,Duration of musculoskeletal/connective tissue problem recode 2 ,408,1
LACHRC20,Musculoskeletal/connective tissue problem condition status ,409,1
LATIME21,Duration of circulation problems (including blood clots) : Number of units , 410 - 411 ,2
LAUNIT21,Duration of circulation problems (including blood clots): Time unit ,412,1
LADURA21,Duration of circulation problems (including blood clots) (in years) , 413 - 414 ,2
LADURB21,Duration of circulation problems (including blood clots) recode 2 ,415,1
LACHRC21,Circulation problems (including blood clots) condition status ,416,1
LATIME22,Duration of endocrine/nutritional/metabolic problem: Number of units , 417 - 418 ,2
LAUNIT22,Duration of endocrine/nutritional/metabolic problem: Time unit ,419,1
LADURA22,Duration of endocrine/nutritional/metabolic problem (in years) , 420 - 421 ,2
LADURB22,Duration of endocrine/nutritional/metabolic problem recode 2 ,422,1
LACHRC22,Endocrine/nutritional/metabolic problem condition status ,423,1
LATIME23,Duration of nervous system /sensory organ condition: Number of units , 424 - 425 ,2
LAUNIT23,Duration of nervous system/sensory organ condition: Time unit ,426,1
LADURA23,Duration of nervous system/sensory organ condition (in years) , 427 - 428 ,2
LADURB23,Duration of nervous system/sensory organ condition recode 2 ,429,1
LACHRC23,Nervous system/sensory organ condition status ,430,1
LATIME24,Duration of digestive system problems: Number of units , 431 - 432 ,2
LAUNIT24,Duration of digestive system problems: Number of units ,433,1
LADURA24,Duration of digestive system problems (in years) , 434 - 435 ,2
LADURB24,Duration of digestive system problems recode 2 ,436,1
LACHRC24,Digestive system problems condition status ,437,1
LATIME25,Duration of genitourinary system problem: Number of units , 438 - 439 ,2
LAUNIT25,Duration of genitourinary system problem: Time unit ,440,1
LADURA25,Duration of genitourinary system problem (in years) , 441 - 442 ,2
LADURB25,Duration of genitourinary system problem recode 2 ,443,1
LACHRC25,Genitourinary system problem condition status ,444,1
LATIME26,Duration of skin/subcutaneous system problems: Number of units , 445 - 446 ,2
LAUNIT26,Duration of skin/subcutaneous system problems: Time unit ,447,1
LADURA26,Duration of skin/subcutaneous system problems (in years) , 448 - 449 ,2
LADURB26,Duration of skin/subcutaneous system problem recode 2 ,450,1
LACHRC26,Skin/subcutaneous system problems condition status ,451,1
LATIME27,Duration of blood or blood-forming organ problem: Number of units , 452 - 453 ,2
LAUNIT27,Duration of blood or blood-forming organ problem: Time unit ,454,1
LADURA27,Duration of blood or blood-forming organ problem (in years) , 455 - 456 ,2
LADURB27,Duration of blood or blood-forming organ problem recode 2 ,457,1
LACHRC27,Blood or blood-forming organ problem condition status ,458,1
LATIME28,Duration of benign tumor/cyst: Number of units , 459 - 460 ,2
LAUNIT28,Duration of benign tumor/cyst: Time unit ,461,1
LADURA28,Duration of benign tumor/cyst (in years) , 462 - 463 ,2
LADURB28,Duration of benign tumor/cyst recode 2 ,464,1
LACHRC28,Benign tumor/cyst condition status ,465,1
LATIME29,Duration of alcohol/drug/substance abuse problem: Number of units , 466 - 467 ,2
LAUNIT29,Duration of alcohol/drug/substance abuse problem: Time unit ,468,1
LADURA29,Duration of alcohol/drug/substance abuse problem (in years) , 469 - 470 ,2
LADURB29,Duration of alcohol/drug/substance abuse problem recode 2 ,471,1
LACHRC29,Alcohol/drug/substance abuse problem condition status ,472,1
LATIME30,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Number of units , 473 - 474 ,2
LAUNIT30,Duration of other mental problem/ADD/Bipolar/Schizophrenia: Time unit ,475,1
LADURA30,Duration of other mental problem/ADD/Bipolar/Schizophrenia (in years) , 476 - 477 ,2
LADURB30,Duration of other mental problem/ADD/Bipolar/Schizophrenia recode 2 ,478,1
LACHRC30,Other mental problem/ADD/Bipolar/Schizophrenia condition status ,479,1
LATIME31,Duration of surgical after-effects/medical treatment problems: Number of units , 480 - 481 ,2
LAUNIT31,Duration of surgical after-effects/medical treatment problems: Time unit ,482,1
LADURA31,Duration of surgical after-effects/medical treatment problems (in years) , 483 - 484 ,2
LADURB31,Duration of surgical after-effects/medical treatment problems recode 2 ,485,1
LACHRC31,Surgical after-effects/medical treatment problems condition status ,486,1
LATIME32,"Duration of ""old age""/elderly/aging-related problems: Number of units ", 487 - 488 ,2
LAUNIT32,"Duration of ""old age""/elderly/aging-related problems: Number of units ",489,1
LADURA32,"Duration of ""old age""/elderly/aging-related problems (in years) ", 490 - 491 ,2
LADURB32,"Duration of ""old age""/elderly/aging-related problems recode 2 ",492,1
LACHRC32,Old age/elderly/aging-related problems condition status ,493,1
LATIME33,Duration of fatigue/tiredness/weakness problem: Number of units , 494 - 495 ,2
LAUNIT33,Duration of fatigue/tiredness/weakness problem: Time unit ,496,1
LADURA33,Duration of fatigue/tiredness/weakness problem (in years) , 497 - 498 ,2
LADURB33,Duration of fatigue/tiredness/weakness problem recode 2 ,499,1
LACHRC33,Fatigue/tiredness/weakness problem condition status ,500,1
LATIME34,Duration of pregnancy-related problem: Number of units , 501 - 502 ,2
LAUNIT34,Duration of pregnancy-related problem: Time unit ,503,1
LADURA34,Duration of pregnancy-related problem (in years) , 504 - 505 ,2
LADURB34,Duration of pregnancy-related problem recode 2 ,506,1
LACHRC34,Pregnancy-related condition status ,507,1
LATIME90,Duration of other impairment/problem N.E.C. (1): Number of units , 508 - 509 ,2
LAUNIT90,Duration of other impairment/problem N.E.C. (1): Time unit ,510,1
LADURA90,Duration of other impairment/problem N.E.C. (1) (in years) , 511 - 512 ,2
LADURB90,Duration of other impairment/problem N.E.C. (1) recode 2 ,513,1
LACHRC90,Other impairment/problem N.E.C. (1) condition status ,514,1
LATIME91,Duration of other impairment/problem N.E.C. (2): Number of units , 515 - 516 ,2
LAUNIT91,Duration of other impairment/problem N.E.C. (2): Time unit ,517,1
LADURA91,Duration of other impairment/problem N.E.C. (2) (in years) , 518 - 519 ,2
LADURB91,Duration of other impairment/problem N.E.C. (2) recode 2 ,520,1
LACHRC91,Other impairment/problem N.E.C. (2) condition status ,521,1
LCONDRT,Chronic condition recode for person with limitation of activity ,522,1
LACHRONR,Limitation of activity recode by chronic condition status ,523,1
PHSTAT,Reported health status ,524,1
PDMED12M,"Has medical care been delayed for - - (cost), 12m ",525,1
PNMED12M,"Did - - need and NOT get medical care (cost), 12m ",526,1
PHOSPYR2,"Has - - been in a hospital OVERNIGHT, 12m ",527,1
HOSPNO,"Number of times in hospital overnight, 12m ", 528 - 530 ,3
HPNITE,"Number of nights in hospital, 12m ", 531 - 533 ,3
PHCHM2W,"Did - - receive HOME care by health professional, 2 wk ",534,1
PHCHMN2W,"Number of HOME visits by health professional, 2wk ", 535 - 536 ,2
PHCPH2WR,"Did--get advice/test results by phone, 2wk ",537,1
PHCPHN2W,"Number of PHONE calls to health professional, 2wk ", 538 - 539 ,2
PHCDV2W,"Did - - see health professional in office, etc, 2wk ",540,1
PHCDVN2W,"Number of times VISITED health professional, 2wk ", 541 - 542 ,2
P10DVYR,"Did - - receive care 10+ times, 12m ",543,1
NOTCOV,Cov stat as used in Health United States ,544,1
MEDICARE,Medicare coverage recode ,545,1
MCPART,Type of Medicare coverage ,546,1
MCCHOICE,Enrolled in Medicare Advantage Plan ,547,1
MCHMO,Is - - signed up with an HMO ,548,1
MCADVR,Medicare Advantage Plan ,549,1
MCPREM,Premium for Medicare Advantage/ Medicare HMO ,550,1
MCREF,Need a referral for special care ,551,1
MCPARTD,Medicare Part D ,552,1
MEDICAID,Medicaid coverage recode ,553,1
MAFLG,Medicaid reassignment flag ,554,1
MACHMD,"Any doc, chooses from a list, doc assigned ",555,1
MXCHNG,Medicaid Exchange ,556,1
MEDPREM,Medicaid Premium ,557,1
MDPRINC,Medicaid Premium based on income ,558,1
MAPCMD,Primary care physician for routine care ,559,1
MAREF,Need a referral for special care ,560,1
SINGLE,Single service plan recode ,561,1
SSTYPEA,Accidents ,562,1
SSTYPEB,AIDS care ,563,1
SSTYPEC,Cancer treatment ,564,1
SSTYPED,Catastrophic care ,565,1
SSTYPEE,Dental care ,566,1
SSTYPEF,Disability insurance ,567,1
SSTYPEG,Hospice care ,568,1
SSTYPEH,Hospitalization only ,569,1
SSTYPEI,Long-term care ,570,1
SSTYPEJ,Prescriptions ,571,1
SSTYPEK,Vision care ,572,1
SSTYPEL,Other ,573,1
PRIVATE,Private health insurance recode ,574,1
PRFLG,Private reassignment flag ,575,1
EXCHANGE,"Plan through Health Insurance Exchange, NCHS algorithm ",576,1
WHONAM1,Plan in whose name (Plan 1) ,577,1
PRPOLH1,Relationship to outside policyholder (Plan 1) ,578,1
PRCOOH1,Covered persons outside family roster (Plan 1) ,579,1
PRCTOH1,Number of persons (Plan 1) , 580 - 581 ,2
PRRLOH11,"Child, including stepchild (Plan 1) ",582,1
PRRLOH21,Spouse (Plan 1) ,583,1
PRRLOH31,Former spouse (Plan 1) ,584,1
PRRLOH41,Some other relationship (Plan 1) ,585,1
PRCNUM1,Number of children covered who live elsewhere (Plan 1) , 586 - 587 ,2
COHU191,Number of children age 0-18 (Plan 1) , 588 - 589 ,2
COH19251,Number of children age 19-25 (Plan 1) , 590 - 591 ,2
COHO251,Number of children age 26+ (Plan 1) , 592 - 593 ,2
PLNWRKR1,How plan was originally obtained (Plan 1) , 594 - 595 ,2
PLNEXCH1,Health Plan obtained through the MarketPlace (Plan 1) ,596,1
EXCHPR1,"Exchange company coding, NCHS (Plan 1) ",597,1
PLNPAY11,Paid for by self or family (Plan 1) ,598,1
PLNPAY21,Paid for by employer or union (Plan 1) ,599,1
PLNPAY31,Paid for by someone outside the household (Plan 1) ,600,1
PLNPAY41,Paid for by Medicare (Plan 1) ,601,1
PLNPAY51,Paid for by Medicaid (Plan 1) ,602,1
PLNPAY61,Paid for by CHIP (Plan 1) ,603,1
PLNPAY71,Paid for by government program (Plan 1) ,604,1
PLNPRE1,Premium based on income (Plan 1) ,605,1
HICOSTR1,Out-of-pocket premium cost (Plan 1) , 606 - 610 ,5
EMPPAY1,Know how much employer or union pays (Plan 1) ,611,1
