Question#,Recode,InstrumentVariableName,FinalDocName,ProcessingVariableLabel,Location,Length
ALT.219_00.000,,CHE_AVGS,CHE_AVGS,Average amount paid out-of-pocket for each chelation therapy visit,264 - 266,3
ALT.220_00.000,,CHE_MAT,CHE_MAT,Bought self-help book or other materials to learn about chelation therapy,267,1
ALT.221_00.000,,CHE_MATC,CHE_MATC,Amount paid for self-help book or other materials to learn about chelation therapy,268 - 270,3
ALT.231_00.000,,CST_USE,CST_USE,"Used craniosacral therapy for health, ever",271,1
ALT.232_00.000,,CST_EVER,CST_EVER,"Saw a practitioner for craniosacral therapy, ever",272,1
ALT.233_00.000,,CST_USEM,CST_USEM,"Saw a practitioner for craniosacral therapy, past 12 months",273,1
ALT.234_00.000,,CST_USM,CST_USM,"Used craniosacral therapy, past 12 months",274,1
ALT.235_00.000,,CST_PTIM,CST_PTIM,"Knows exact number of times saw a practitioner for craniosacral therapy, past 12 months",275,1
ALT.236_00.000,,CST_TMNO,CST_TMNO,"Exact number of times saw a practitioner for craniosacral therapy, past 12 months",276 - 277,2
ALT.237_00.000,,CST_TMCT,CST_TMCT,"Approximate number of times saw a practitioner for craniosacral therapy, past 12 months",278 - 279,2
ALT.238_00.000,,CST_HIC,CST_HIC,Any cost of seeing practitioner for craniosacral therapy was covered by insurance,280,1
ALT.239_00.000,,CST_HICA,CST_HICA,Portion of the cost of seeing practitioner for craniosacral therapy covered by insurance,281,1
ALT.240_00.000,,CST_HIT,CST_HIT,Knows total amount paid out-of-pocket for seeing a practitioner for craniosacral therapy,282,1
ALT.241_00.000,,CST_HITS,CST_HITS,Total amount paid out-of-pocket for seeing a practitioner for craniosacral therapy,283 - 287,5
ALT.242_00.000,,CST_AVGC,CST_AVGC,Knows average amount paid out-of-pocket per visit for craniosacral therapy,288,1
ALT.243_00.000,,CST_AVGS,CST_AVGS,Average out-of-pocket cost paid for each craniosacral therapy visit,289 - 291,3
ALT.244_00.000,,CST_MAT,CST_MAT,Bought self-help book or other materials to learn about craniosacral therapy,292,1
ALT.245_00.000,,CST_MATC,CST_MATC,Amount paid for self-help book or other materials to learn about craniosacral therapy,293 - 295,3
ALT.255_00.000,,TRD_EVR,TRD_EVR,Ever seen a traditional healer,296,1
ALT.256_01.000,,TRDEVR1-TRDEVR6,TRDEVR1,Ever seen a Native American Healer or Medicine Man,297,1
ALT.256_02.000,,TRDEVR1-TRDEVR6,TRDEVR2,Ever seen a Shaman,298,1
ALT.256_03.000,,TRDEVR1-TRDEVR6,TRDEVR3,Ever seen a Curandero or Parchero,299,1
ALT.256_04.000,,TRDEVR1-TRDEVR6,TRDEVR4,Ever seen a Yerbero or Hierbista,300,1
ALT.256_05.000,,TRDEVR1-TRDEVR6,TRDEVR5,Ever seen a Sobador,301,1
ALT.256_06.000,,TRDEVR1-TRDEVR6,TRDEVR6,Ever seen a Huesero,302,1
ALT.257_00.000,,TRDU_NAH,TRDU_NAH,"Saw a Native American Healer or Medicine Man, past 12 months",303,1
ALT.258_00.000,,TRDU_SHA,TRDU_SHA,"Saw a Shaman, past 12 months",304,1
ALT.259_00.000,,TRDU_CUR,TRDU_CUR,"Saw a Curandero or Parchero, past 12 months",305,1
ALT.260_00.000,,TRDU_YER,TRDU_YER,"Saw a Yerbero or Hierbista, past 12 months",306,1
ALT.261_00.000,,TRDU_SOB,TRDU_SOB,"Saw a Sobador, past 12 months",307,1
ALT.262_00.000,,TRDU_HUE,TRDU_HUE,"Saw a Huesero, past 12 months",308,1
ALT.263_00.000,,TRD_PTIM,TRD_PTIM,"Knows exact number of times saw a traditional healer, past 12 months",309,1
ALT.264_00.000,,TRD_TMNO,TRD_TMNO,"Exact number of times saw a traditional healer, past 12 months",310 - 311,2
ALT.265_00.000,,TRD_TMCT,TRD_TMCT,"Approximate number of times saw a traditional healer, past 12 months",312 - 313,2
ALT.266_00.000,,TRD_HIC,TRD_HIC,Any cost of seeing traditional healer was covered by insurance,314,1
ALT.267_00.000,,TRD_HICA,TRD_HICA,Portion of the cost of seeing traditional healer covered by insurance,315,1
ALT.268_00.000,,TRD_HIT,TRD_HIT,Knows total amount paid out-of-pocket for seeing a traditional healer,316,1
ALT.269_00.000,,TRD_HITS,TRD_HITS,Total amount paid out-of-pocket for seeing a traditional healer,317 - 321,5
ALT.270_00.000,,TRD_AVGC,TRD_AVGC,Knows average amount paid out-of-pocket per visit to traditional healer,322,1
ALT.271_00.000,,TRD_AVGS,TRD_AVGS,Average out-of-pocket cost paid for each traditional healer visit,323 - 325,3
ALT.272_00.000,,TRD_MAT,TRD_MAT,Bought self-help book or other materials to learn about traditional healers,326,1
ALT.273_00.000,,TRD_MATC,TRD_MATC,Amount paid for self-help book or other materials to learn about traditional healers,327 - 329,3
ALT.283_00.000,,AVT_USE,AVT_USE,Ever taken multi-vitamins or multi-minerals,330,1
ALT.284_00.000,,AVT_USM,AVT_USM,Taken multi-vitamins or multi-minerals in past 12 months,331,1
ALT.285_00.000,,AVT_ABEV,AVT_ABEV,"Ever taken vitamins A, B, C, D, E, H, or K",332,1
ALT.286_00.000,,AVT_ABUM,AVT_ABUM,"Taken vitamins A,B,C,D,E,H, or K in past 12 months",333,1
ALT.287_00.000,,AVT_CAEV,AVT_CAEV,"Ever taken calcium, magnesium, iron, chromium, zinc, selenium, or potassium",334,1
ALT.288_00.000,,AVT_CAUM,AVT_CAUM,"Taken calcium, magnesium, iron, chromium, zinc, selenium, or potassium in past 12 months",335,1
ALT.298_00.000,,AHB_EVR,AHB_EVR,Ever taken any herbal or other non-vitamin supplements,336,1
ALT.299_00.000,,AHB_USM,AHB_USM,Taken any herbal or other non-vitamin supplements in past 12 months,337,1
ALT.300_01.000,,AHBLST01-AHBLST22,AHBLST01,"Taken combination herb pill, past 12 months",338,1
ALT.300_02.000,,AHBLST01-AHBLST22,AHBLST02,"Taken acai pills or gelcaps, past 12 months",339,1
ALT.300_03.000,,AHBLST01-AHBLST22,AHBLST03,"Taken bee pollen (or other bee products), past 12 months",340,1
ALT.300_04.000,,AHBLST01-AHBLST22,AHBLST04,"Taken chondroitin, past 12 months",341,1
ALT.300_05.000,,AHBLST01-AHBLST22,AHBLST05,"Taken Co-enzyme Q10 (CoQ10), past 12 months",342,1
ALT.300_06.000,,AHBLST01-AHBLST22,AHBLST06,"Taken cranberry pills or capsules, past 12 months",343,1
ALT.300_07.000,,AHBLST01-AHBLST22,AHBLST07,"Taken digestive enzymes (lactaid), past 12 months",344,1
ALT.300_08.000,,AHBLST01-AHBLST22,AHBLST08,"Taken echinacea, past 12 months",345,1
ALT.300_09.000,,AHBLST01-AHBLST22,AHBLST09,"Taken fish oil (or omega 3, DHA, or EPA fatty acid) supplements, past 12 months",346,1
ALT.300_10.000,,AHBLST01-AHBLST22,AHBLST10,"Taken garlic supplements, past 12 months",347,1
ALT.300_11.000,,AHBLST01-AHBLST22,AHBLST11,"Taken Ginkgo Biloba, past 12 months",348,1
ALT.300_12.000,,AHBLST01-AHBLST22,AHBLST12,"Taken Ginseng, past 12 months",349,1
ALT.300_13.000,,AHBLST01-AHBLST22,AHBLST13,"Taken glucosamine, past 12 months",350,1
ALT.300_14.000,,AHBLST01-AHBLST22,AHBLST14,"Taken green tea pills or EGCG pills, past 12 months",351,1
ALT.300_15.000,,AHBLST01-AHBLST22,AHBLST15,"Taken melatonin, past 12 months",352,1
ALT.300_16.000,,AHBLST01-AHBLST22,AHBLST16,"Taken milk thistle (silymarin), past 12 months",353,1
ALT.300_17.000,,AHBLST01-AHBLST22,AHBLST17,"Taken MSM (Methylsulfonylmethane), past 12 months",354,1
ALT.300_18.000,,AHBLST01-AHBLST22,AHBLST18,"Taken probiotics or prebiotics, past 12 months",355,1
ALT.300_19.000,,AHBLST01-AHBLST22,AHBLST19,"Taken SAM-e, past 12 months",356,1
ALT.300_20.000,,AHBLST01-AHBLST22,AHBLST20,"Taken saw palmetto, past 12 months",357,1
ALT.300_21.000,,AHBLST01-AHBLST22,AHBLST21,"Taken valerian, past 12 months",358,1
ALT.300_22.000,,AHBLST01-AHBLST22,AHBLST22,"Taken other herbs or non-vitamin supplements, past 12 months",359,1
ALT.301_00.000,,AHB_MON,AHB_MON,Has taken any specific herbs or other non-vitamin supplements in past 30 days,360,1
ALT.302_01.000,,AHBLSM01-AHBLSM22,AHBLSM01,"Taken combination herb pill, past 30 days",361,1
ALT.302_02.000,,AHBLSM01-AHBLSM22,AHBLSM02,"Taken acai pills or gelcaps, past 30 days",362,1
ALT.302_03.000,,AHBLSM01-AHBLSM22,AHBLSM03,"Taken bee pollen (or other bee products), past 30 days",363,1
ALT.302_04.000,,AHBLSM01-AHBLSM22,AHBLSM04,"Taken chondroitin, past 30 days",364,1
ALT.302_05.000,,AHBLSM01-AHBLSM22,AHBLSM05,"Taken co-enzyme Q10 (CoQ10), past 30 days",365,1
ALT.302_06.000,,AHBLSM01-AHBLSM22,AHBLSM06,"Taken cranberry pills or capsules, past 30 days",366,1
ALT.302_07.000,,AHBLSM01-AHBLSM22,AHBLSM07,"Taken digestive enzymes (lactaid), past 30 days",367,1
ALT.302_08.000,,AHBLSM01-AHBLSM22,AHBLSM08,"Taken echinacea, past 30 days",368,1
ALT.302_09.000,,AHBLSM01-AHBLSM22,AHBLSM09,"Taken fish oil (or omega 3, DHA, or EPA fatty acid) supplements, past 30 days",369,1
ALT.302_10.000,,AHBLSM01-AHBLSM22,AHBLSM10,"Taken garlic supplements, past 30 days",370,1
ALT.302_11.000,,AHBLSM01-AHBLSM22,AHBLSM11,"Taken ginkgo biloba, past 30 days",371,1
ALT.302_12.000,,AHBLSM01-AHBLSM22,AHBLSM12,"Taken ginseng, past 30 days",372,1
